01507426;3418;3415;0032;0032;+20.000;-0.007
01594662;3421;3415;0036;0032;+20.000;-0.004
01681990;3419;3413;0032;0032;+20.000;-0.007
01769225;3419;3415;0032;0032;+20.000;-0.007
01856543;3419;3415;0033;0032;+20.000;-0.006
01943779;3415;3416;0033;0030;+20.000;-0.005
02031102;3415;3414;0034;0031;+20.000;-0.005
02118336;3418;3415;0036;0036;+20.000;-0.007
02205567;3420;3414;0032;0032;+20.000;-0.007
02292884;3418;3415;0033;0032;+20.000;-0.006
02380120;3418;3414;0035;0032;+20.000;-0.005
02467444;3415;3417;0033;0032;+20.000;-0.006
02554687;3419;3413;0034;0031;+20.000;-0.005
02642012;3416;3414;0033;0032;+20.000;-0.006
02729250;3417;3415;0034;0032;+20.000;-0.005
02816486;3420;3415;0033;0032;+20.000;-0.006
02903811;3418;3416;0033;0027;+20.000;-0.003
02991048;3415;3411;0032;0032;+20.000;-0.007
03078376;3420;3413;0032;0031;+20.000;-0.006
03165616;3417;3412;0031;0032;+20.000;-0.007
03252851;3418;3413;0036;0032;+20.000;-0.004
03340172;3417;3415;0035;0036;+20.000;-0.007
03427411;3415;3415;0033;0032;+20.000;-0.006
03514737;3419;3415;0032;0032;+20.000;-0.007
03601967;3417;3413;0034;0032;+20.000;-0.005
03689201;3417;3415;0040;0032;+20.000;-0.001
03776529;3420;3415;0035;0032;+20.000;-0.005
03863763;3420;3414;0032;0032;+20.000;-0.007
03951079;3419;3414;0032;0032;+20.000;-0.007
04038309;3416;3414;0030;0032;+20.000;-0.008
04125629;3417;3413;0034;0034;+20.000;-0.007
04212865;3417;3415;0032;0032;+20.000;-0.007
04300194;3419;3413;0032;0029;+20.000;-0.005
04387428;3417;3412;0032;0034;+20.000;-0.008
04474670;3418;3415;0034;0032;+20.000;-0.005
04561999;3420;3414;0032;0032;+20.000;-0.007
04649228;3416;3415;0032;0032;+20.000;-0.007
04736544;3419;3413;0032;0032;+20.000;-0.007
04823775;3420;3415;0035;0032;+20.000;-0.005
04911096;3419;3414;0034;0034;+20.000;-0.007
04998322;3418;3415;0032;0032;+20.000;-0.007
05085639;3418;3414;0032;0032;+20.000;-0.007
05172876;3417;3415;0031;0032;+20.000;-0.007
05260111;3415;3414;0032;0032;+20.000;-0.007
05347432;3418;3413;0033;0027;+20.000;-0.003
05434683;3418;3413;0042;0032;+20.000;+0.000
05521990;3419;3416;0055;0027;+20.000;+0.012
05609228;3418;3415;0083;0027;+20.000;+0.031
05696547;3417;3413;0225;0032;+20.000;+0.128
05783780;3418;3413;0387;0034;+20.000;+0.246
05871019;3417;3411;0632;0033;+20.000;+0.441
05958345;3417;3413;0815;0032;+20.000;+0.599
06045578;3420;3414;0988;0032;+20.000;+0.758
06132900;3420;3414;1162;0032;+20.000;+0.929
06220133;3415;3413;1413;0034;+20.000;+1.201
06307458;3417;3414;1646;0030;+20.000;+1.489
06394695;3418;3412;1694;0030;+20.000;+1.553
06481931;3418;3416;1705;0030;+20.000;+1.568
06569253;3418;3412;1705;0032;+20.000;+1.566
06656491;3418;3413;1706;0032;+20.000;+1.568
06743813;3420;3414;1713;0032;+20.000;+1.577
06831046;3420;3414;1721;0032;+20.000;+1.588
06918365;3415;3412;1769;0032;+20.000;+1.654
07005592;3417;3414;1842;0032;+20.000;+1.759
07092913;3416;3413;2010;0058;+20.000;+2.003
07180147;3418;3414;2172;0208;+20.000;+2.185
07267464;3416;3413;2316;0412;+20.000;+2.327
07354691;3417;3412;2468;0688;+20.000;+2.466
07442007;3417;3415;2621;0924;+20.000;+2.688
07529242;3417;3414;2725;1169;+20.000;+2.803
07616478;3418;3413;2837;1370;+20.000;+3.038
07703797;3415;3412;2910;1622;+20.000;+3.099
