T,s1,s2,s3,s4,v_x,v_y
1780571288917,2737,2786,1288,1153,+003.4045,-000.0737
1780571288967,3420,2839,1201,1177,+005.5331,-000.1743
1780571289017,2676,2788,1227,1206,+002.7200,+000.0350
1780571289067,2629,2711,1276,1207,+002.5472,+000.0368
1780571289117,2590,2685,1265,1272,+002.3983,+000.0205
1780571289167,2515,2609,1176,1290,+002.2851,-000.0403
1780571289217,2478,2522,1283,1352,+001.8900,-000.0686
1780571289267,2373,2343,1270,1279,+001.6222,-000.0516
1780571289317,2372,2378,1408,1372,+001.5418,-000.0361
1780571289367,2360,2371,1391,1392,+001.5093,-000.0157
1780571289417,2239,2270,1290,1272,+001.4543,-000.0440
1780571289467,2330,2404,1438,1439,+001.4147,-000.0534
1780571289517,2238,2262,1491,1483,+001.1520,-000.0026
1780571289567,2074,2094,1361,1410,+000.9988,-000.0846
1780571289617,2124,2129,1481,1488,+000.9042,-000.0550
1780571289667,2114,2113,1472,1547,+000.8919,-000.0801
1780571289717,2068,2082,1516,1572,+000.8099,-000.0690
1780571289767,1942,1978,1397,1553,+000.7017,-000.0987
1780571289817,2017,2053,1615,1669,+000.6139,-000.0657
1780571289867,1986,1992,1618,1715,+000.4863,-000.0906
1780571289917,1936,1963,1636,1704,+000.3711,-000.1342
1780571289967,1859,1883,1562,1731,+000.3137,-000.1833
1780571290017,1827,1805,1667,1822,+000.0681,-000.1795
1780571290067,1844,1734,1788,1803,-000.0514,-000.1277
1780571290117,1886,1772,1907,1939,-000.1900,-000.1638
1780571290167,1794,1654,1861,1910,-000.2796,-000.1641
1780571290217,1774,1632,1976,2037,-000.4837,-000.1923
1780571290267,1755,1650,1973,2098,-000.5558,-000.1767
1780571290317,1614,1521,1999,2049,-000.6666,-000.1498
1780571290367,1678,1587,2110,2141,-000.7589,-000.1502
1780571290417,1664,1597,2113,2164,-000.7939,-000.1723
1780571290467,1670,1579,2156,2182,-000.8901,-000.1326
1780571290517,1545,1442,2107,2146,-000.9578,-000.1263
1780571290567,1620,1531,2231,2217,-001.0270,-000.1493
1780571290617,1525,1427,2176,2208,-001.1350,-000.1282
1780571290667,1504,1411,2231,2241,-001.2143,-000.1267
1780571290717,1450,1376,2141,2240,-001.1997,-000.1879
1780571290767,1478,1379,2204,2257,-001.2467,-000.1665
1780571290817,1549,1464,2215,2354,-001.2809,-000.1990
1780571290867,1478,1375,2218,2286,-001.3143,-000.1885
1780571290917,1561,1433,2328,2319,-001.3438,-000.1559
1780571290967,1489,1351,2271,2289,-001.3708,-000.1535
1780571291017,1465,1324,2274,2282,-001.3584,-000.1710
1780571291067,1549,1449,2264,2378,-001.3956,-000.1853
1780571291117,1415,1312,2273,2326,-001.4433,-000.1783
1780571291167,1466,1376,2309,2455,-001.5839,-000.2055
1780571291217,1383,1275,2288,2392,-001.6075,-000.1934
1780571291267,1507,1406,2369,2473,-001.6371,-000.2081
1780571291317,1493,1386,2349,2463,-001.6355,-000.1996
1780571291367,1394,1285,2292,2396,-001.6168,-000.1988
1780571291417,1443,1366,2276,2471,-001.6289,-000.2294
1780571291467,1483,1363,2337,2455,-001.6048,-000.2283
1780571291517,1397,1301,2301,2413,-001.5919,-000.2134
1780571291567,1404,1289,2287,2408,-001.5954,-000.2113
1780571291617,1393,1267,2330,2409,-001.6597,-000.1927
1780571291667,1309,1160,2340,2488,-001.8799,-000.2660
1780571291717,1376,1216,2458,2545,-002.0108,-000.2585
1780571291767,1386,1220,2469,2605,-002.1188,-000.2732
1780571291817,1256,1099,2423,2560,-002.0975,-000.2667
1780571291867,1248,1106,2377,2568,-002.0661,-000.3017
1780571291917,1270,1114,2421,2516,-002.0309,-000.2417
1780571291967,1382,1250,2412,2604,-002.0366,-000.2665
1780571292017,1396,1265,2430,2549,-001.9397,-000.2454
1780571292067,1456,1330,2414,2535,-001.8692,-000.2285
1780571292117,1363,1228,2344,2445,-001.7569,-000.2192
1780571292167,1395,1294,2253,2396,-001.5490,-000.2145
1780571292217,1445,1350,2286,2341,-001.4245,-000.2482
1780571292267,1476,1310,2262,2276,-001.3582,-000.1911
1780571292317,1492,1342,2231,2249,-001.2642,-000.1785
1780571292367,1585,1465,2114,2170,-000.9747,-000.1442
1780571292417,1597,1526,1995,2156,-000.7983,-000.2165
1780571292467,1676,1539,1956,2048,-000.6085,-000.2060
1780571292517,1841,1719,1973,2048,-000.4071,-000.2085
1780571292567,1778,1619,1874,1893,-000.2768,-000.1924
1780571292617,1784,1648,1848,1944,-000.2978,-000.1940
1780571292667,1850,1722,1920,1983,-000.2592,-000.2170
1780571292717,1806,1688,1881,1956,-000.2608,-000.2023
1780571292767,1807,1677,1850,1882,-000.2003,-000.1744
1780571292817,1776,1651,1817,1851,-000.1753,-000.1948
1780571292867,1804,1667,1820,1884,-000.1757,-000.1584
1780571292917,1829,1778,1736,1875,-000.0349,-000.1824
1780571292967,1785,1732,1715,1820,-000.0121,-000.1674
1780571293017,1812,1730,1718,1836,-000.0144,-000.1807
1780571293067,1822,1753,1706,1872,-000.0436,-000.1798
1780571293117,1849,1781,1745,1868,-000.0298,-000.1687
1780571293167,1826,1760,1722,1860,-000.0416,-000.1727
1780571293217,1861,1820,1809,1946,-000.0577,-000.1946
1780571293267,1837,1755,1736,1860,-000.0269,-000.1854
1780571293317,1806,1742,1735,1835,-000.0155,-000.2003
1780571293367,1869,1783,1826,1893,-000.0450,-000.1696
1780571293417,1826,1732,1783,1840,-000.0440,-000.1568
1780571293467,1824,1744,1741,1855,-000.0322,-000.1863
1780571293517,1860,1774,1748,1858,-000.0191,-000.1675
1780571293567,1847,1770,1759,1862,-000.0392,-000.1534
1780571293617,1849,1771,1757,1854,-000.0283,-000.1582
1780571293667,1858,1779,1771,1859,-000.0253,-000.1767
1780571293717,1866,1738,1732,1859,-000.0304,-000.2240
1780571293767,1939,1686,1671,1907,-000.0088,-000.3822
1780571293817,1926,1663,1691,1896,-000.0045,-000.3824
1780571293867,1975,1630,1656,1938,-000.0209,-000.4934
1780571293917,1960,1625,1615,1982,-000.0160,-000.5441
1780571293967,2009,1633,1545,2105,-000.0428,-000.7240
1780571294017,1943,1614,1436,2123,-000.0449,-000.7554
1780571294067,2117,1550,1522,2181,-000.0638,-000.9602
1780571294117,2106,1547,1510,2168,-000.0667,-000.9773
1780571294167,2162,1433,1474,2206,-000.0533,-001.1515
1780571294217,2211,1466,1459,2207,-000.0382,-001.1636
1780571294267,2219,1482,1474,2192,-000.0133,-001.1592
1780571294317,2164,1433,1278,2242,+000.0501,-001.3038
1780571294367,2210,1382,1208,2271,+000.0695,-001.4656
1780571294417,2248,1390,1291,2292,+000.0366,-001.4561
1780571294467,2369,1235,1179,2345,+000.0688,-001.8215
1780571294517,2428,1292,1192,2380,+000.0653,-001.8551
1780571294567,2409,1249,1202,2365,+000.0683,-001.8713
1780571294617,2426,1261,1148,2506,+000.0297,-002.0896
1780571294667,2449,1277,1104,2550,+000.0145,-002.1118
1780571294717,2439,1224,1074,2535,+000.0327,-002.1924
1780571294767,2449,1235,1115,2528,+000.0275,-002.1839
1780571294817,2466,1220,1146,2509,+000.0322,-002.1758
1780571294867,2474,1254,1085,2551,+000.0359,-002.1959
1780571294917,2548,1233,1122,2628,-000.0172,-002.3486
1780571294967,2488,1144,1075,2605,-000.0304,-002.4097
1780571295017,2563,1230,1129,2669,-000.0532,-002.4445
1780571295067,2527,1147,1105,2616,-000.0332,-002.4843
